DB_id,company_name,notes
1128016311,Beragh Care and Development Association,
1128017484,Company Pictures,
1128074956,Puddle Films,
1128525689,Monster Animation,
1128614815,Women in Media and Entertainment,
1128615481,Eo Teilifís,
1129037021,Parzival Productions,
1138361709,Aeon Films,
1138690869,Pavee Point Productions,
1153387532,Westward Productions,
1165305905,The Film Factory,
1181112460,Bing Crosby Producers Inc,
1183708603,Romulus Films,
1191957697,Open Eye Television,
1192878809,Espresso Films,
1194935517,Mary McDonnell,
1220571921,Triangle Film Corp,
1229333597,Paradox Pictures,
1273937265,Universal Pictures Corp,
1279470640,Paper Plane Productions,
1282773750,hot film,
1310525015,Twerly Films,
1317692439,Selznick Pictures Corp,
1356623193,Paradise Pictures,
1360855616,Goldfish Films,
1364885548,ITV,
1369784946,Northern Film School,
1394227040,Boxer Productions,
1397069845,Mint Productions,
1428855888,Louis Marks,
1432844864,British Film Institute Production Board,
1433559496,Warner Bros Pictures Inc,
1440952788,Kelly Ann O'Neill,
1449816938,Arts Council of Ireland,
1464905366,US Public Health Service,
1470100591,Language,
1476100115,Amatango Productions,
1478315363,Partisan Film Productions Ltd.,
1502198268,De Mille Pictures,
1523546592,Republic Pictures Corp,
1534719630,Macalla Teoranta,
1544974159,ITC Entertainment,
1552071702,Stratford Productions,
1598100415,Barralet,
1651996011,Stratford Productions,
1660582415,Cianco Productions,
1661027795,Vitagraph Co of America,
1669806872,Wildfire Films,
1691106361,Power Movies,
1701204982,Ambon Ltd,
1708453635,Clare Langan,
1717472093,Frontroom Productions Ltd.,
1754660915,Lisa Murphy,
1770327454,Nicola Quinn/Katie Richardson,
1780999463,Power Pictures,
1799008132,Ikandi Productions,
1799876280,Edward Small Productions Inc,
1824819005,Chadwick Pictures,
1850564151,De Facto Films,
1860860550,Brown Bag Films,
1878801510,Universal Film Mfg Co,
1883326900,Magma Films,
1883503364,FUBAR,
1909164161,Tyrone Productions,
1927746983,Lillian Howarth,
1935964963,Irish Dream Time,
1944976840,Little Girl Productions,
1964589529,Evelyn O' Neill,
1970906207,Concorde Anois Teoranta,
1973482560,Crimson Films,
2010522704,Nemeton Productions,
2012270904,Antonia Leslie,
2038103373,Storm Productions,
2043453412,RTÉ,
2057377336,Agtel/Independent Pictures,
2057916629,Victoria Films AB,
2062883118,Clár Productions,
2071004164,BBC/Electric/Polygram Filmed Entertainment,
2076503774,Expanding Cinema,
2087474571,Rough Magic Productions,
2088359024,Newgrange Pictures,
2099546193,One Productions,
2125480079,Angels on the Head of a Pin Productions,
